valid_time,number,expver,Temperatura_C,Radiacion_Wm2,Precipitacion_mm
2010-01-01,0.0,0001,22.81383,202.17922921746197,4.968024
2010-02-01,0.0,0001,23.894135,206.44418165128295,4.6045556
2010-03-01,0.0,0001,24.045277,227.26387575467317,4.3946505
2010-04-01,0.0,0001,24.442003,221.6052384476953,6.787327
2010-05-01,0.0,0001,23.90542,187.98166107918263,15.022261
2010-06-01,0.0,0001,23.375725,168.71193479333564,16.422037
2010-07-01,0.0,0001,23.001387,164.5766718550447,15.875916
2010-08-01,0.0,0001,22.961529,164.5984259259259,19.110418
2010-09-01,0.0,0001,22.798235,172.35932422283176,16.354998
2010-10-01,0.0,0001,22.680735,167.13849148815743,14.43744
2010-11-01,0.0,0001,21.835321,138.41562935388365,17.62396
2010-12-01,0.0,0001,21.27764,158.5749865755254,10.097503
2011-01-01,0.0,0001,22.005026,193.0670597497968,4.529189
2011-02-01,0.0,0001,22.491718,216.4714535803437,4.171828
2011-03-01,0.0,0001,22.687748,243.0443977853245,2.9028962
2011-04-01,0.0,0001,23.418222,237.84161801201674,3.8856626
2011-05-01,0.0,0001,23.620825,201.1121175113201,9.545912
2011-06-01,0.0,0001,23.368393,177.96677522349938,13.083427
2011-07-01,0.0,0001,22.921137,171.49946516167424,14.677684
2011-08-01,0.0,0001,23.204752,196.85153873505166,10.28069
2011-09-01,0.0,0001,23.110964,182.63617692731916,11.76124
2011-10-01,0.0,0001,22.273046,147.05034900005805,17.502335
2011-11-01,0.0,0001,22.121168,152.55914039823523,12.1204
2011-12-01,0.0,0001,21.775202,154.6534041565076,9.504705
2012-01-01,0.0,0001,21.891737,203.9148113317079,3.7776163
2012-02-01,0.0,0001,22.533625,230.7200758301405,2.219545
2012-03-01,0.0,0001,23.174421,243.40559510333222,2.7057111
2012-04-01,0.0,0001,23.515474,223.7399236981888,5.6752067
2012-05-01,0.0,0001,23.621044,200.15859873882502,10.261604
2012-06-01,0.0,0001,23.55551,200.30221097468944,10.547537
2012-07-01,0.0,0001,23.039833,174.2118437971671,12.018954
2012-08-01,0.0,0001,23.172817,196.67981053349587,10.406364
2012-09-01,0.0,0001,22.99933,190.14444926999883,10.2611475
2012-10-01,0.0,0001,22.802237,173.10925436114016,11.936052
2012-11-01,0.0,0001,22.35483,149.7983212150238,12.015232
2012-12-01,0.0,0001,22.497854,177.34252938871472,5.8047915
2013-01-01,0.0,0001,22.734066,210.29310156159295,2.4190679
2013-02-01,0.0,0001,22.973654,230.8964378700801,1.6158639
2013-03-01,0.0,0001,23.483921,230.61668959712063,3.4332523
2013-04-01,0.0,0001,24.097666,240.39966627481715,3.4171162
2013-05-01,0.0,0001,23.572994,203.04488799634274,9.66322
2013-06-01,0.0,0001,23.298922,178.70470538720537,13.4847765
2013-07-01,0.0,0001,22.918976,172.65424913647973,11.973564
2013-08-01,0.0,0001,22.91566,181.076081287008,13.288946
2013-09-01,0.0,0001,23.158337,189.94101958884826,13.550558
2013-10-01,0.0,0001,22.837364,170.92186360733774,13.571598
2013-11-01,0.0,0001,22.574966,174.7169233281087,8.370641
2013-12-01,0.0,0001,22.414564,186.47774316440265,5.3863506
2014-01-01,0.0,0001,22.507442,204.03157559793337,3.093626
2014-02-01,0.0,0001,22.912424,235.93611510217116,1.558879
2014-03-01,0.0,0001,23.64762,255.34818631719492,1.5277839
2014-04-01,0.0,0001,24.126947,230.6962800417973,3.8900044
2014-05-01,0.0,0001,23.760191,213.113331011262,9.945168
2014-06-01,0.0,0001,23.613142,169.88589258243357,11.255288
2014-07-01,0.0,0001,23.51485,181.67711827324976,8.469529
2014-08-01,0.0,0001,23.160278,186.99042327005688,11.221796
2014-09-01,0.0,0001,22.939533,176.9439284003831,14.199295
2014-10-01,0.0,0001,22.868492,165.22664482468363,13.994674
2014-11-01,0.0,0001,22.58176,159.18365914896086,11.823726
2014-12-01,0.0,0001,22.384256,162.74851547079996,9.612234
2015-01-01,0.0,0001,22.56502,198.61641813247417,4.590746
2015-02-01,0.0,0001,22.853464,220.12555918379192,4.0796666
2015-03-01,0.0,0001,23.343563,244.10079273336814,2.509587
2015-04-01,0.0,0001,24.144604,238.6261019679554,3.9036436
2015-05-01,0.0,0001,23.842104,199.3690757793452,9.085624
2015-06-01,0.0,0001,23.919209,180.84250293887146,10.353662
2015-07-01,0.0,0001,23.442858,174.29483603999768,12.023311
2015-08-01,0.0,0001,23.760063,191.91921430541043,8.010005
2015-09-01,0.0,0001,23.699898,187.43984423981192,11.813645
2015-10-01,0.0,0001,23.559528,183.50302983135958,12.293621
2015-11-01,0.0,0001,23.1445,168.08104892313943,12.133454
2015-12-01,0.0,0001,23.706263,188.0467761668408,3.8879318
2016-01-01,0.0,0001,23.39262,206.85544083072102,2.3246455
2016-02-01,0.0,0001,23.455261,226.1107944386393,3.9966927
2016-03-01,0.0,0001,24.568823,245.49838928073842,1.6484689
2016-04-01,0.0,0001,24.797806,241.13504012829443,4.018639
